Metaprotein,Superkingdom,Kingdom ,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number,EC-Number,P01_C,P02_C,P03_C,P04_C,P05_C,P06_C,P06b_C,P06c_C,P07_C,P07b_C,P07c_C,P08_C,P09_C,P10_C,P11_C,P12_C,P13_C,P14_C,P15_C,P16_C,P17_C,P18_CD,P18b_CD,P18c_CD,P19_CD,P20_CD,P21_CD,P22_CD,P23_CD,P24_CD,P25_CD,P26_CD,P27_CD,P28_CD,P29_UC,P30_UC,P31_UC,P32_UC,P33_UC,P34_UC,P35_UC,P36_UC,P37_UC,P38_UC,P39_UC,P40_UC,P41_UC,P42_UC
A2MG_BOVIN Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_Q7SIH1,K03910|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,10,0,0,0,0,0,9,0,0,6,0,0,13,0,38,12,0,9,6,5,0,0
A2MG_PONAB Alpha-2-macroglobulin OS=Pongo abelii GN=A2M PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01023,K03910|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,69,73,85,0,166,0,6,117,33,0,35,0,0,157,178,2,149,0,431,206,17,171,21,92,100,3
AACT_PONAB Alpha-1-antichymotrypsin OS=Pongo abelii GN=SERPINA3 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01011,K04525|,|,16,6,2,10,9,10,10,12,4,9,0,22,13,20,5,7,9,27,10,3,9,128,119,110,117,292,54,38,78,42,71,59,53,35,64,162,101,60,189,44,197,205,136,153,41,69,87,0
AAT_SALTY Aspartate aminotransferase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=aspC PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,UniRef50_P00509,K00813|,2.6.1.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCX_PYRYE Probable ATP-dependent transporter ycf16 OS=Pyropia yezoensis GN=ycf16 PE=3 SV=1,Eukaryota,unassigned,unassigned,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis,UniRef50_O78474,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABDA_CULQU Homeobox protein abdominal-A homolog OS=Culex quinquefasciatus GN=abd-A PE=3 SV=1,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex quinquefasciatus,UniRef50_B0W1V2,K09311|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM_BOVIN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=ACADM PE=2 SV=1",Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P45952,K00249|,1.3.8.7|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM_PANTR Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Pan troglodytes GN=ACADM PE=2 SV=1",Eukaryota,Metazoa,Chordata,Mammalia,Primates,unassigned,unassigned,unassigned,UniRef50_P11310,|K00249|,1.3.8.7|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM_PIG Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Sus scrofa GN=ACADM PE=1 SV=3",Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Suidae,Sus,Sus scrofa,UniRef50_P41367,K00249|,1.3.8.7|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADS_RAT Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Acads PE=1 SV=2",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P15651,K00248|,1.3.8.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTRB2_HUMAN Chymotrypsinogen B2 OS=Homo sapiens GN=CTRB2 PE=2 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P17538,|K01310|,3.4.21.1|,6,10,19,8,29,40,36,40,72,53,44,116,22,10,8,13,19,56,35,24,38,2624,2509,2380,352,106,54,116,84,221,89,17,308,32,179,203,84,118,52,352,109,28,246,2,204,97,4,412
"ACCD_AETCO Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic OS=Aethionema cordifolium GN=accD PE=3 SV=1",Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Aethionema,Aethionema cordifolium,UniRef50_P56765,|,6.4.1.2|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACDS_MEGEL Acyl-CoA dehydrogenase, short-chain specific OS=Megasphaera elsdenii PE=1 SV=1",Bacteria,unassigned,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,UniRef50_Q06319,|,1.3.8.1|,0,0,0,0,0,0,0,0,18,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ACE_PANTR Angiotensin-converting enzyme OS=Pan troglodytes GN=ACE PE=3 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_P12821,K01283|,3.2.1.-|3.4.15.1|,0,0,0,0,12,0,0,0,1,3,0,14,0,0,8,16,13,0,17,0,9,15,19,11,40,25,0,13,0,0,3,0,0,0,0,127,28,31,5,29,7,0,7,0,0,25,19,14
ACE_RABIT Angiotensin-converting enzyme OS=Oryctolagus cuniculus GN=ACE PE=1 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P09470,K01283|,3.2.1.-|3.4.15.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,2,5,7,0,0,2,2,3,0,0,0,0,18,7,8,0,0,0,0,0,0,0,5,6,2
ACE2_RAT Angiotensin-converting enzyme 2 OS=Rattus norvegicus GN=Ace2 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_Q9BYF1,K09708|,3.4.17.23|,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P51066,K01637|,4.1.3.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_AGARV Acetate kinase OS=Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) GN=ackA PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium rectale,UniRef50_C4Z917,K00925|,2.7.2.1|,9,0,0,0,0,4,4,2,1,0,1,1,2,0,3,6,4,0,3,4,8,0,0,0,0,3,0,6,3,0,4,5,0,5,2,0,0,5,2,0,0,0,3,0,0,5,0,5
ACKA_BACV8 Acetate kinase OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=ackA PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,UniRef50_Q9WYB1,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_CLOB1 Acetate kinase OS=Clostridium botulinum (strain ATCC 19397 / Type A) GN=ackA PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum,UniRef50_B8CWV8,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_CLOPH Acetate kinase OS=Clostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) GN=ackA PE=3 SV=1,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P0CW05,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ACKA_CROS8 Acetate kinase OS=Cronobacter sakazakii (strain ATCC BAA-894) GN=ackA PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P0A6A5,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_FINM2 Acetate kinase OS=Finegoldia magna (strain ATCC 29328) GN=ackA PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Finegoldia,Finegoldia magna,UniRef50_P38502,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_MYCSS Acetate kinase OS=Mycobacterium sp. (strain MCS) GN=ackA PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. KMS,UniRef50_A3PTW3,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_RICFE Acetate kinase OS=Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) GN=ackA PE=3 SV=2,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia felis,UniRef50_Q4UNB0,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_SHELP Acetate kinase OS=Shewanella loihica (strain ATCC BAA-1088 / PV-4) GN=ackA PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica,UniRef50_Q9JTM0,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA_SHESR Acetate kinase OS=Shewanella sp. (strain MR-7) GN=ackA PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,unassigned,UniRef50_Q65TV4,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKA2_CLOPE Acetate kinase 2 OS=Clostridium perfringens (strain 13 / Type A) GN=ackA2 PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,UniRef50_P71104,K00925|,2.7.2.1|,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACNA_STRMU Aconitate hydratase A OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) GN=acn PE=3 SV=2,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P25516,K01681|,4.2.1.3|4.2.1.99|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACNB_SALTY Aconitate hydratase B OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=acnB PE=1 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,UniRef50_P36683,K01682|,4.2.1.3|4.2.1.99|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP_AKKM8 Acyl carrier protein OS=Akkermansia muciniphila (strain ATCC BAA-835 / Muc) GN=acpP PE=3 SV=1,Bacteria,unassigned,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila,UniRef50_B2V6T8,K02078|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP_BACTN Acyl carrier protein OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482) GN=acpP PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,UniRef50_Q8A2E6,K02078|,|,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
